gdp,date
-0.1161,01-01-2014
-0.1122,01-02-2014
-0.1088,01-03-2014
-0.0917,01-04-2014
-0.1088,01-05-2014
-0.1088,01-06-2014
-0.1088,01-07-2014
-0.1088,01-08-2014
-0.1345,01-09-2014
-0.1088,01-10-2014
-0.0894,01-11-2014
-0.1088,01-12-2014
0.0302,01-01-2015
-0.0435,01-02-2015
-0.0467,01-03-2015
-0.0435,01-04-2015
-0.0435,01-05-2015
-0.0621,01-06-2015
-0.0197,01-07-2015
-0.0572,01-08-2015
-0.0635,01-09-2015
-0.0713,01-10-2015
-0.0403,01-11-2015
-0.0544,01-12-2015
-0.0105,01-01-2016
-0.0114,01-02-2016
-0.03,01-03-2016
-0.0434,01-04-2016
-0.0293,01-05-2016
-0.0266,01-06-2016
-0.0826,01-07-2016
-0.0496,01-08-2016
-0.0307,01-09-2016
-0.0534,01-10-2016
